Date,Open,High,Low,Close,Volume
12-06-2000,122.265625,124.65625,120.640625,121.315628,14581632
13-06-2000,120.330467,122.578125,116.421875,121.413284,19440384
14-06-2000,120.140625,124.203125,120.140625,122.079689,15804032
15-06-2000,121.90625,131.234375,121.125,129.411713,47780928
16-06-2000,128.140625,132.65625,127.328125,131.103912,32008768
19-06-2000,131.25,135.4375,128.921875,133.839066,39349376
20-06-2000,133.359375,139.84375,133.359375,136.389847,25223040
21-06-2000,139.0625,139.0625,131.71875,132.824219,27506944
22-06-2000,132.8125,134.265625,131.265625,133.009369,21713344
23-06-2000,132.75,132.75,127.59375,129.050781,22021824
26-06-2000,128.125778,128.125778,122.657814,126.299217,17510144
27-06-2000,127.796875,129.826569,125.078125,127.460938,19903872
28-06-2000,126.5625,129.0625,123.46875,128.387497,12160960
29-06-2000,129.203125,135.140625,129.203125,131.101563,16867520
30-06-2000,129.78125,130.46875,127.359375,129.850006,15405760
03-07-2000,131.09375,134.671875,131.09375,134.117966,21234432
04-07-2000,134.6875,137.46875,134.390625,136.7164,22397056
05-07-2000,137.3125,137.6875,133.6875,134.382034,15825792
06-07-2000,133.828125,133.828125,130.78125,132.316406,13693696
07-07-2000,132.654694,134.68515,132.126556,132.619537,16222208
10-07-2000,132.96875,133.75,129.125,129.634369,15590016
11-07-2000,130.203125,133.203125,128.75,129.269531,26963328
12-07-2000,129.296875,131.234375,126.40625,130.649216,29184832
13-07-2000,132,133.280472,124.21875,125.486717,27476480
14-07-2000,123.438278,125.59375,120.015625,121.407028,54850688
17-07-2000,121.09375,122.185936,118.90625,120.196877,26524928
18-07-2000,120.265625,120.296875,115.1875,116.477341,38106752
19-07-2000,110.946877,116.875,110.659378,114.454689,30771840
20-07-2000,113.921875,115.225784,112.578125,114.800781,22578560
21-07-2000,115.225784,117.34375,114.078125,114.832809,28321024
24-07-2000,113.46875,113.46875,105.71875,107.059372,33885440
25-07-2000,101.5625,113.203125,99.25,111.225784,49228288
26-07-2000,113.5625,114.046875,103.142967,104.001564,34172416
27-07-2000,103.125,107.015625,99.296875,106.050003,39879680
28-07-2000,106.640625,110.390625,105.015625,106.957809,44182464
31-07-2000,107.03125,107.953125,103.921875,105.644531,21621248
01-08-2000,106.875,107.78125,104.884377,105.439842,23805504
02-08-2000,103.5,104.03125,101.328125,103.548439,26991616
03-08-2000,102.8125,102.8125,98.4375,100.790627,26974272
04-08-2000,100.171875,103.578125,97.743752,98.831253,45206336
07-08-2000,99.515625,101.40625,98.75,100.606247,24836928
08-08-2000,101.40625,116.703903,101.40625,116.550781,75971520
09-08-2000,120.15625,122.5,117.578125,118.30703,45188416
10-08-2000,117.34375,119.90625,112.832809,113.602341,34988928
